trade_id,strategy,entry_utc,session_key,prior_session_loss_count,decision,source_pnl_jpy
F05|2020-09-08T16:30:00.107000+00:00|-1,F05,2020-09-08T16:30:00.107000+00:00,2020-09-08|NEW_YORK,0,ACCEPT,-18.999999999991246
B02|2020-09-09T08:15:03.006000+00:00|1,B02,2020-09-09T08:15:03.006000+00:00,2020-09-09|LONDON,0,ACCEPT,-13.999999999995794
F05|2020-09-09T15:30:00.174000+00:00|1,F05,2020-09-09T15:30:00.174000+00:00,2020-09-09|LONDON_NY_OVERLAP,0,ACCEPT,-55.999999999997385
B02|2020-09-10T07:45:00.090000+00:00|-1,B02,2020-09-10T07:45:00.090000+00:00,2020-09-10|LONDON,0,ACCEPT,-6.999999999990791
B02|2020-09-11T07:30:10.869000+00:00|1,B02,2020-09-11T07:30:10.869000+00:00,2020-09-11|LONDON,0,ACCEPT,-16.000000000005343
F05|2020-09-11T18:15:05.979000+00:00|-1,F05,2020-09-11T18:15:05.979000+00:00,2020-09-11|NEW_YORK,0,ACCEPT,-94.99999999999886
F05|2020-09-14T04:30:00.271000+00:00|-1,F05,2020-09-14T04:30:00.271000+00:00,2020-09-14|ASIA,1,ACCEPT,102.00000000000387
B02|2020-09-14T07:15:00.379000+00:00|-1,B02,2020-09-14T07:15:00.379000+00:00,2020-09-14|LONDON,0,ACCEPT,-21.99999999999136
F05|2020-09-14T07:15:00.379000+00:00|-1,F05,2020-09-14T07:15:00.379000+00:00,2020-09-14|LONDON,0,ACCEPT,370.00000000000455
F05|2020-09-14T13:15:00.252000+00:00|-1,F05,2020-09-14T13:15:00.252000+00:00,2020-09-14|LONDON_NY_OVERLAP,0,ACCEPT,155.00000000000114
F05|2020-09-14T14:30:00.066000+00:00|-1,F05,2020-09-14T14:30:00.066000+00:00,2020-09-14|LONDON_NY_OVERLAP,0,ACCEPT,-141.00000000000534
B02|2020-09-15T08:45:00.588000+00:00|1,B02,2020-09-15T08:45:00.588000+00:00,2020-09-15|LONDON,0,ACCEPT,-19.000000000005457
B02|2020-09-15T11:00:00.598000+00:00|-1,B02,2020-09-15T11:00:00.598000+00:00,2020-09-15|LONDON,1,ACCEPT,177.99999999999727
F05|2020-09-15T11:15:02.609000+00:00|-1,F05,2020-09-15T11:15:02.609000+00:00,2020-09-15|LONDON,1,ACCEPT,79.9999999999983
F05|2020-09-15T12:15:00.423000+00:00|-1,F05,2020-09-15T12:15:00.423000+00:00,2020-09-15|LONDON,1,ACCEPT,-3.9999999999906777
F05|2020-09-15T12:45:00.287000+00:00|-1,F05,2020-09-15T12:45:00.287000+00:00,2020-09-15|LONDON,1,ACCEPT,-55.999999999997385
F05|2020-09-15T13:15:00.238000+00:00|-1,F05,2020-09-15T13:15:00.238000+00:00,2020-09-15|LONDON_NY_OVERLAP,0,ACCEPT,-55.999999999997385
B02|2020-09-16T08:00:00.698000+00:00|-1,B02,2020-09-16T08:00:00.698000+00:00,2020-09-16|LONDON,0,ACCEPT,242.999999999995
F05|2020-09-16T08:00:00.698000+00:00|-1,F05,2020-09-16T08:00:00.698000+00:00,2020-09-16|LONDON,0,ACCEPT,305.0000000000068
F05|2020-09-16T10:30:00.003000+00:00|-1,F05,2020-09-16T10:30:00.003000+00:00,2020-09-16|LONDON,0,ACCEPT,194.00000000000261
F05|2020-09-16T12:45:00.243000+00:00|-1,F05,2020-09-16T12:45:00.243000+00:00,2020-09-16|LONDON,0,ACCEPT,-105.99999999999454
F05|2020-09-16T13:15:00.051000+00:00|-1,F05,2020-09-16T13:15:00.051000+00:00,2020-09-16|LONDON_NY_OVERLAP,0,ACCEPT,-108.00000000000409
B02|2020-09-17T07:45:01.077000+00:00|-1,B02,2020-09-17T07:45:01.077000+00:00,2020-09-17|LONDON,0,ACCEPT,-112.99999999999955
F05|2020-09-17T07:45:01.077000+00:00|-1,F05,2020-09-17T07:45:01.077000+00:00,2020-09-17|LONDON,0,ACCEPT,-30.000000000001137
F05|2020-09-17T11:30:00.285000+00:00|-1,F05,2020-09-17T11:30:00.285000+00:00,2020-09-17|LONDON,1,ACCEPT,-60.000000000002274
B02|2020-09-18T07:15:00.201000+00:00|-1,B02,2020-09-18T07:15:00.201000+00:00,2020-09-18|LONDON,0,ACCEPT,46.00000000000648
F05|2020-09-18T09:00:00.156000+00:00|-1,F05,2020-09-18T09:00:00.156000+00:00,2020-09-18|LONDON,0,ACCEPT,99.00000000000375
F05|2020-09-18T09:45:03.533000+00:00|-1,F05,2020-09-18T09:45:03.533000+00:00,2020-09-18|LONDON,0,ACCEPT,-82.99999999999841
B02|2020-09-21T07:15:01.316000+00:00|-1,B02,2020-09-21T07:15:01.316000+00:00,2020-09-21|LONDON,0,ACCEPT,-1.0000000000047748
F05|2020-09-21T07:15:01.316000+00:00|-1,F05,2020-09-21T07:15:01.316000+00:00,2020-09-21|LONDON,0,ACCEPT,-477.00000000000387
F05|2020-09-21T08:30:00.072000+00:00|-1,F05,2020-09-21T08:30:00.072000+00:00,2020-09-21|LONDON,1,ACCEPT,-649.0000000000009
B02|2020-09-22T10:45:00.249000+00:00|-1,B02,2020-09-22T10:45:00.249000+00:00,2020-09-22|LONDON,0,ACCEPT,-570.999999999998
F05|2020-09-22T14:45:05.252000+00:00|1,F05,2020-09-22T14:45:05.252000+00:00,2020-09-22|LONDON_NY_OVERLAP,0,ACCEPT,28.000000000005798
F05|2020-09-22T15:30:00.014000+00:00|1,F05,2020-09-22T15:30:00.014000+00:00,2020-09-22|LONDON_NY_OVERLAP,0,ACCEPT,-38.000000000010914
F05|2020-09-23T00:45:00.044000+00:00|1,F05,2020-09-23T00:45:00.044000+00:00,2020-09-23|ASIA,0,ACCEPT,-72.00000000000273
B02|2020-09-23T07:30:00.064000+00:00|-1,B02,2020-09-23T07:30:00.064000+00:00,2020-09-23|LONDON,0,ACCEPT,-0.0
F05|2020-09-23T14:30:01.046000+00:00|1,F05,2020-09-23T14:30:01.046000+00:00,2020-09-23|LONDON_NY_OVERLAP,0,ACCEPT,85.99999999999852
F05|2020-09-23T15:45:00.981000+00:00|1,F05,2020-09-23T15:45:00.981000+00:00,2020-09-23|LONDON_NY_OVERLAP,0,ACCEPT,-4.9999999999954525
F05|2020-09-23T16:45:00.888000+00:00|1,F05,2020-09-23T16:45:00.888000+00:00,2020-09-23|NEW_YORK,0,ACCEPT,52.00000000000671
B02|2020-09-24T07:30:01.918000+00:00|-1,B02,2020-09-24T07:30:01.918000+00:00,2020-09-24|LONDON,0,ACCEPT,-52.99999999999727
