trade_id,strategy,signal_utc,entry_utc,baseline_close_utc,close_utc,side,side_label,lots,entry_price,baseline_close_price,close_price,baseline_pnl_jpy,pnl_jpy,modified,reason,entry_bar_index,baseline_exit_bar_index,exit_bar_index,session,year,halfyear,quarter,month,detail,source,c3_boundary,atr_m15_pips,extension_atr,volatility_state,current_60s_pips,mfe_60s_pips,mae_60s_pips
F05|2021-12-21T14:15:01.977000+00:00|1,F05,2021-12-21T14:00:00+00:00,2021-12-21T14:15:01.977000+00:00,2021-12-21T22:15:40.726000+00:00,2021-12-21T22:15:40.726000+00:00,1,LONG,0.01,113.798,114.088,114.088,289.99999999999204,289.99999999999204,False,UNCHANGED_BASELINE_TRADE,55425,55457,55457,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=113.779;current_low=113.325;previous_high=113.779;previous_low=113.325;signal_close=113.796;previous_close=113.764,DUKASCOPY_SOURCE_NATIVE_BIDASK,,4.067065833279224,3.3193463183052616,LOW,,,
F05|2021-12-21T15:15:00.052000+00:00|1,F05,2021-12-21T15:00:00+00:00,2021-12-21T15:15:00.052000+00:00,2021-12-21T23:15:00.003000+00:00,2021-12-21T23:15:00.003000+00:00,1,LONG,0.01,113.932,114.021,114.021,88.99999999999864,88.99999999999864,False,UNCHANGED_BASELINE_TRADE,55429,55461,55461,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=113.894;current_low=113.325;previous_high=113.894;previous_low=113.325;signal_close=113.928;previous_close=113.861,DUKASCOPY_SOURCE_NATIVE_BIDASK,,4.536913454401543,5.929141093468109,LOW,,,
F05|2021-12-21T16:00:00.095000+00:00|1,F05,2021-12-21T15:45:00+00:00,2021-12-21T16:00:00.095000+00:00,2021-12-22T00:00:00.398000+00:00,2021-12-22T00:00:00.398000+00:00,1,LONG,0.01,114.082,113.993,113.993,-88.99999999999864,-88.99999999999864,False,UNCHANGED_BASELINE_TRADE,55432,55464,55464,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=113.987;current_low=113.325;previous_high=113.985;previous_low=113.325;signal_close=114.081;previous_close=113.974,DUKASCOPY_SOURCE_NATIVE_BIDASK,,5.724853811705531,7.318964182863033,LOW,,,
F05|2021-12-21T17:30:04.472000+00:00|1,F05,2021-12-21T17:15:00+00:00,2021-12-21T17:30:04.472000+00:00,2021-12-22T01:30:02.042000+00:00,2021-12-22T01:30:02.042000+00:00,1,LONG,0.01,114.185,114.121,114.121,-64.00000000000716,-64.00000000000716,False,UNCHANGED_BASELINE_TRADE,55438,55470,55470,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=114.17;current_low=113.496;previous_high=114.17;previous_low=113.452;signal_close=114.181;previous_close=114.136,DUKASCOPY_SOURCE_NATIVE_BIDASK,,5.343780254457235,8.402291610428557,LOW,,,
B02|2021-12-22T08:15:00.251000+00:00|1,B02,2021-12-22T08:00:00+00:00,2021-12-22T08:15:00.251000+00:00,2021-12-22T20:15:00.781000+00:00,2021-12-22T20:15:00.781000+00:00,1,LONG,0.01,114.194,114.159,114.159,-34.99999999999659,-34.99999999999659,False,A2_RETAIN_ORIGINAL_48BAR_EXIT,55497,55545,55545,LONDON_AM,2021,2021H2,2021Q4,2021-12,session_high=114.179;session_low=113.993;signal_close=114.189,DUKASCOPY_SOURCE_NATIVE_BIDASK,21.0,,,,,,
F05|2021-12-22T08:30:00.098000+00:00|1,F05,2021-12-22T08:15:00+00:00,2021-12-22T08:30:00.098000+00:00,2021-12-22T16:30:00.059000+00:00,2021-12-22T16:30:00.059000+00:00,1,LONG,0.01,114.307,114.178,114.178,-129.0000000000049,-129.0000000000049,False,UNCHANGED_BASELINE_TRADE,55498,55530,55530,LONDON_AM,2021,2021H2,2021Q4,2021-12,current_high=114.219;current_low=113.553;previous_high=114.219;previous_low=113.553;signal_close=114.303;previous_close=114.189,DUKASCOPY_SOURCE_NATIVE_BIDASK,,4.334330393365072,5.2372564940478945,LOW,,,
F05|2021-12-22T10:15:00.049000+00:00|1,F05,2021-12-22T10:00:00+00:00,2021-12-22T10:15:00.049000+00:00,2021-12-22T18:15:00.242000+00:00,2021-12-22T18:15:00.242000+00:00,1,LONG,0.01,114.327,114.248,114.248,-78.99999999999352,-78.99999999999352,False,UNCHANGED_BASELINE_TRADE,55505,55537,55537,LONDON_AM,2021,2021H2,2021Q4,2021-12,current_high=114.318;current_low=113.618;previous_high=114.318;previous_low=113.613;signal_close=114.323;previous_close=114.292,DUKASCOPY_SOURCE_NATIVE_BIDASK,,4.024561029407294,5.193112950029809,LOW,,,
B02|2021-12-23T08:15:00.342000+00:00|1,B02,2021-12-23T08:00:00+00:00,2021-12-23T08:15:00.342000+00:00,2021-12-23T20:15:00.616000+00:00,2021-12-23T09:30:02.079000+00:00,1,LONG,0.01,114.274,114.438,114.27,164.00000000000148,-4.0000000000048885,True,A2_C3_EARLY_GIVEBACK_16BAR,55593,55641,55598,LONDON_AM,2021,2021H2,2021Q4,2021-12,session_high=114.265;session_low=114.105;signal_close=114.268,DUKASCOPY_SOURCE_NATIVE_BIDASK,5.0,,,,,,
F05|2021-12-23T12:30:00.295000+00:00|1,F05,2021-12-23T12:15:00+00:00,2021-12-23T12:30:00.295000+00:00,2021-12-23T20:30:00.148000+00:00,2021-12-23T20:30:00.148000+00:00,1,LONG,0.01,114.383,114.433,114.433,50.00000000001137,50.00000000001137,False,UNCHANGED_BASELINE_TRADE,55610,55642,55642,LONDON_AM,2021,2021H2,2021Q4,2021-12,current_high=114.369;current_low=114.075;previous_high=114.369;previous_low=114.075;signal_close=114.379;previous_close=114.342,DUKASCOPY_SOURCE_NATIVE_BIDASK,,3.774330547339139,3.6297827729101244,LOW,,,
F05|2021-12-23T13:15:00.145000+00:00|1,F05,2021-12-23T13:00:00+00:00,2021-12-23T13:15:00.145000+00:00,2021-12-23T21:15:01.990000+00:00,2021-12-23T21:15:01.990000+00:00,1,LONG,0.01,114.402,114.397,114.397,-4.9999999999954525,-4.9999999999954525,False,UNCHANGED_BASELINE_TRADE,55613,55645,55645,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=114.392;current_low=114.075;previous_high=114.392;previous_low=114.075;signal_close=114.397;previous_close=114.36,DUKASCOPY_SOURCE_NATIVE_BIDASK,,3.9453368121371293,3.9540350400528435,LOW,,,
