timestamp_utc,realized_jpy,floating_jpy,equity_jpy,open_count,candidate_realized_jpy,candidate_floating_jpy
2024-12-17 10:15:00+00:00,45593.0,-30.0,1046882.9999999997,1,1319.9999999996273,0.0
2024-12-17 10:30:00+00:00,45593.0,-64.0,1046848.9999999997,1,1319.9999999996273,0.0
2024-12-17 10:45:00+00:00,45593.0,-55.0,1046857.9999999997,1,1319.9999999996273,0.0
2024-12-17 11:00:00+00:00,45593.0,-85.0,1046827.9999999997,1,1319.9999999996273,0.0
2024-12-17 11:15:00+00:00,45593.0,-6.0,1046906.9999999997,1,1319.9999999996273,0.0
2024-12-17 11:30:00+00:00,45593.0,-41.0,1046871.9999999997,1,1319.9999999996273,0.0
2024-12-17 11:45:00+00:00,45593.0,-85.0,1046827.9999999997,1,1319.9999999996273,0.0
2024-12-17 12:00:00+00:00,45593.0,-155.0,1046757.9999999997,1,1319.9999999996273,0.0
2024-12-17 12:15:00+00:00,45593.0,-150.0,1046762.9999999997,1,1319.9999999996273,0.0
2024-12-17 12:30:00+00:00,45593.0,-86.0,1046826.9999999997,1,1319.9999999996273,0.0
2024-12-17 12:45:00+00:00,45593.0,-84.0,1046828.9999999997,1,1319.9999999996273,0.0
2024-12-17 13:00:00+00:00,45593.0,-67.0,1046845.9999999997,1,1319.9999999996273,0.0
2024-12-17 13:15:00+00:00,45593.0,-158.0,1046754.9999999997,1,1319.9999999996273,0.0
2024-12-17 13:30:00+00:00,45593.0,-124.0,1046788.9999999997,1,1319.9999999996273,0.0
2024-12-17 13:45:00+00:00,45593.0,-185.0,1046727.9999999997,1,1319.9999999996273,0.0
2024-12-17 14:00:00+00:00,45593.0,-19.0,1046893.9999999997,1,1319.9999999996273,0.0
2024-12-17 14:15:00+00:00,45593.0,73.0,1046985.9999999997,1,1319.9999999996273,0.0
2024-12-17 14:30:00+00:00,45593.0,155.0,1047067.9999999997,1,1319.9999999996273,0.0
2024-12-17 14:45:00+00:00,45593.0,131.0,1047043.9999999997,1,1319.9999999996273,0.0
2024-12-17 15:00:00+00:00,45593.0,196.0,1047108.9999999997,1,1319.9999999996273,0.0
2024-12-17 15:15:00+00:00,45593.0,294.0,1047206.9999999997,2,1319.9999999996273,0.0
2024-12-17 15:30:00+00:00,45593.0,174.0,1047086.9999999997,2,1319.9999999996273,0.0
2024-12-17 15:45:00+00:00,45593.0,160.0,1047072.9999999997,2,1319.9999999996273,0.0
2024-12-17 16:00:00+00:00,45593.0,186.0,1047098.9999999997,2,1319.9999999996273,0.0
2024-12-17 16:15:00+00:00,45593.0,110.0,1047022.9999999997,2,1319.9999999996273,0.0
2024-12-17 16:30:00+00:00,45593.0,32.000000000000014,1046944.9999999997,2,1319.9999999996273,0.0
2024-12-17 16:45:00+00:00,45593.0,144.0,1047056.9999999997,2,1319.9999999996273,0.0
2024-12-17 17:00:00+00:00,45593.0,365.0,1047277.9999999997,3,1319.9999999996273,0.0
2024-12-17 17:15:00+00:00,45593.0,530.0,1047442.9999999997,3,1319.9999999996273,0.0
2024-12-17 17:30:00+00:00,45593.0,797.0,1047709.9999999997,3,1319.9999999996273,0.0
2024-12-17 17:45:00+00:00,45593.0,689.0,1047601.9999999997,3,1319.9999999996273,0.0
2024-12-17 18:00:00+00:00,45593.0,809.0,1047721.9999999997,3,1319.9999999996273,0.0
2024-12-17 18:15:00+00:00,45593.0,653.0,1047565.9999999997,3,1319.9999999996273,0.0
2024-12-17 18:30:00+00:00,45593.0,731.0,1047643.9999999997,3,1319.9999999996273,0.0
2024-12-17 18:45:00+00:00,45593.0,1125.0,1048037.9999999997,4,1319.9999999996273,0.0
2024-12-17 19:00:00+00:00,45593.0,673.0,1047585.9999999997,4,1319.9999999996273,0.0
2024-12-17 19:15:00+00:00,45593.0,501.0,1047413.9999999997,4,1319.9999999996273,0.0
2024-12-17 19:30:00+00:00,45593.0,601.0,1047513.9999999997,4,1319.9999999996273,0.0
2024-12-17 19:45:00+00:00,45593.0,501.0,1047413.9999999997,4,1319.9999999996273,0.0
2024-12-17 20:00:00+00:00,45593.0,413.0,1047325.9999999997,4,1319.9999999996273,0.0
2024-12-17 20:15:00+00:00,45593.0,317.0,1047229.9999999997,4,1319.9999999996273,0.0
2024-12-17 20:30:00+00:00,45593.0,273.0,1047185.9999999997,4,1319.9999999996273,0.0
2024-12-17 20:45:00+00:00,45593.0,-195.0,1046717.9999999997,4,1319.9999999996273,0.0
2024-12-17 21:00:00+00:00,45593.0,-295.0,1046617.9999999997,4,1319.9999999996273,0.0
2024-12-17 21:15:00+00:00,45593.0,-479.0,1046433.9999999997,4,1319.9999999996273,0.0
2024-12-17 21:30:00+00:00,45593.0,-330.99999999999994,1046581.9999999997,4,1319.9999999996273,0.0
2024-12-17 21:45:00+00:00,45880.0,-382.0,1046817.9999999997,3,1319.9999999996273,0.0
2024-12-17 22:04:00+00:00,45880.0,205.99999999999997,1047405.9999999997,3,1319.9999999996273,0.0
2024-12-17 22:15:00+00:00,45880.0,-127.0,1047072.9999999997,3,1319.9999999996273,0.0
2024-12-17 22:30:00+00:00,45880.0,-331.0,1046868.9999999997,3,1319.9999999996273,0.0
2024-12-17 22:45:00+00:00,45880.0,-418.00000000000006,1046781.9999999997,3,1319.9999999996273,0.0
2024-12-17 23:00:00+00:00,45880.0,-304.0,1046895.9999999997,3,1319.9999999996273,0.0
2024-12-17 23:15:00+00:00,45813.0,-465.0,1046667.9999999997,2,1319.9999999996273,0.0
2024-12-17 23:30:00+00:00,45813.0,-589.0,1046543.9999999997,2,1319.9999999996273,0.0
