signal_utc,canonical_side,opportunity_id,raw_side,event_id,schedule_class
2023-06-26 07:00:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-26T07:15:00+00:00|1,1.0,RAW|2023-06-26|2023-06-26T07:00:00Z|1,common_intersection
2023-06-26 14:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-26T14:45:00+00:00|-1,-1.0,RAW|2023-06-26|2023-06-26T14:30:00Z|-1,common_intersection
2023-06-27 11:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-27T11:45:00+00:00|-1,-1.0,RAW|2023-06-27|2023-06-27T11:30:00Z|-1,common_intersection
2023-06-28 07:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-28T07:15:00+00:00|-1,-1.0,RAW|2023-06-28|2023-06-28T07:00:00Z|-1,common_intersection
2023-06-29 12:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-29T12:45:00+00:00|-1,-1.0,RAW|2023-06-29|2023-06-29T12:30:00Z|-1,common_intersection
2023-06-30 12:45:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-30T13:00:00+00:00|1,1.0,RAW|2023-06-30|2023-06-30T12:45:00Z|1,common_intersection
2023-07-03 07:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-03T07:15:00+00:00|-1,-1.0,RAW|2023-07-03|2023-07-03T07:00:00Z|-1,common_intersection
2023-07-03 14:15:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-03T14:30:00+00:00|1,1.0,RAW|2023-07-03|2023-07-03T14:15:00Z|1,common_intersection
2023-07-04 09:15:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-04T09:30:00+00:00|1,1.0,RAW|2023-07-04|2023-07-04T09:15:00Z|1,common_intersection
2023-07-05 07:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-05T07:15:00+00:00|-1,-1.0,RAW|2023-07-05|2023-07-05T07:00:00Z|-1,common_intersection
2023-07-05 11:15:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-05T11:30:00+00:00|1,1.0,RAW|2023-07-05|2023-07-05T11:15:00Z|1,common_intersection
2023-07-06 07:15:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-06T07:30:00+00:00|1,1.0,RAW|2023-07-06|2023-07-06T07:15:00Z|1,common_intersection
2023-07-06 14:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-06T14:15:00+00:00|-1,-1.0,RAW|2023-07-06|2023-07-06T14:00:00Z|-1,common_intersection
2023-07-10 12:00:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-10T12:15:00+00:00|1,1.0,RAW|2023-07-10|2023-07-10T12:00:00Z|1,common_intersection
2023-07-11 07:00:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-11T07:15:00+00:00|1,1.0,RAW|2023-07-11|2023-07-11T07:00:00Z|1,common_intersection
2023-07-13 12:30:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-13T12:45:00+00:00|-1,-1.0,RAW|2023-07-13|2023-07-13T12:30:00Z|-1,common_intersection
2023-07-13 16:15:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-13T16:30:00+00:00|1,1.0,RAW|2023-07-13|2023-07-13T16:15:00Z|1,common_intersection
2023-07-14 07:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-14T07:15:00+00:00|-1,-1.0,RAW|2023-07-14|2023-07-14T07:00:00Z|-1,common_intersection
