timestamp,timeframe,bucket_start_server,information_time,completed_information_time,close,partial_bar_exclusion,missing_history_flag,source,timezone,future_bar_access,fast_value,slow_value,slope,raw_state,previous_raw_state,state,state_start,state_duration_hours,last_state_change
2024-07-02 08:00:00+00:00,H4,2024-07-02 08:00:00+00:00,2024-07-02 09:00:00+00:00,2024-07-02 09:00:00+00:00,161.589,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.4758356131398,160.89512787771415,58.07077354256478,Up,Up,Up,2024-06-13 05:00:00+00:00,460.0,2024-06-13 05:00:00+00:00
2024-07-02 12:00:00+00:00,H4,2024-07-02 12:00:00+00:00,2024-07-02 13:00:00+00:00,2024-07-02 13:00:00+00:00,161.511,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.48588258081412,160.94439764749703,54.148493331709346,Up,Up,Up,2024-06-13 05:00:00+00:00,464.0,2024-06-13 05:00:00+00:00
2024-07-02 16:00:00+00:00,H4,2024-07-02 16:00:00+00:00,2024-07-02 17:00:00+00:00,2024-07-02 17:00:00+00:00,161.574,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.5110589862958,160.99476583569725,51.629315059855685,Up,Up,Up,2024-06-13 05:00:00+00:00,468.0,2024-06-13 05:00:00+00:00
2024-07-02 20:00:00+00:00,H4,2024-07-02 20:00:00+00:00,2024-07-02 21:00:00+00:00,2024-07-02 21:00:00+00:00,161.41,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.4821849902113,161.02798456884148,45.42004213698192,Up,Up,Up,2024-06-13 05:00:00+00:00,472.0,2024-06-13 05:00:00+00:00
2024-07-03 00:00:00+00:00,H4,2024-07-03 00:00:00+00:00,2024-07-03 01:00:00+00:00,2024-07-03 01:00:00+00:00,161.563,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.50527499300807,161.07078580333416,43.44891896739114,Up,Up,Up,2024-06-13 05:00:00+00:00,476.0,2024-06-13 05:00:00+00:00
2024-07-03 04:00:00+00:00,H4,2024-07-03 04:00:00+00:00,2024-07-03 05:00:00+00:00,2024-07-03 05:00:00+00:00,161.714,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.5649107092915,161.12224293906743,44.266777022406245,Up,Up,Up,2024-06-13 05:00:00+00:00,480.0,2024-06-13 05:00:00+00:00
2024-07-03 08:00:00+00:00,H4,2024-07-03 08:00:00+00:00,2024-07-03 09:00:00+00:00,2024-07-03 09:00:00+00:00,161.845,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.6449362209225,161.18006350394205,46.48727169804374,Up,Up,Up,2024-06-13 05:00:00+00:00,484.0,2024-06-13 05:00:00+00:00
2024-07-03 12:00:00+00:00,H4,2024-07-03 12:00:00+00:00,2024-07-03 13:00:00+00:00,2024-07-03 13:00:00+00:00,161.821,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.69524015780178,161.2313384236267,46.39017341750673,Up,Up,Up,2024-06-13 05:00:00+00:00,488.0,2024-06-13 05:00:00+00:00
2024-07-03 16:00:00+00:00,H4,2024-07-03 16:00:00+00:00,2024-07-03 17:00:00+00:00,2024-07-03 17:00:00+00:00,161.534,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.649171541287,161.25555134973658,39.36201915504114,Up,Up,Up,2024-06-13 05:00:00+00:00,492.0,2024-06-13 05:00:00+00:00
2024-07-03 20:00:00+00:00,H4,2024-07-03 20:00:00+00:00,2024-07-03 21:00:00+00:00,2024-07-03 21:00:00+00:00,161.683,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.658836815205,161.28974724175765,36.90895734473543,Up,Up,Up,2024-06-13 05:00:00+00:00,496.0,2024-06-13 05:00:00+00:00
