exit_utc,candidate_id,mode,component,pnl_jpy,equity_jpy
2024-03-08 21:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,330.0,1719.9999999999552
2024-03-08 21:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-463.0,1256.9999999999552
2024-03-12 10:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,222.0,1478.9999999999552
2024-03-12 11:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-97.0,1381.9999999999552
2024-03-12 13:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,307.0,1688.9999999999552
2024-03-13 01:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-286.0,1402.9999999999552
2024-03-13 21:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-130.0,1272.9999999999552
2024-03-14 23:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,58.0,1330.9999999999552
2024-03-15 02:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,253.0,1583.9999999999552
2024-03-15 08:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,202.0,1785.9999999999552
2024-03-15 10:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,145.0,1930.9999999999552
2024-03-15 16:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,417.0,2347.9999999999554
2024-03-15 20:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,413.0,2760.9999999999554
2024-03-15 20:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,213.0,2973.9999999999554
2024-03-18 00:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,178.0,3151.9999999999554
2024-03-18 01:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,226.0,3377.9999999999554
2024-03-18 02:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,42.0,3419.9999999999554
2024-03-18 03:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-171.0,3248.9999999999554
2024-03-18 08:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-101.0,3147.9999999999554
2024-03-19 11:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,621.0,3768.9999999999554
2024-03-19 12:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,391.0,4159.999999999955
2024-03-19 13:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,339.0,4498.999999999955
2024-03-19 14:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,240.0,4738.999999999955
2024-03-19 17:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,364.0,5102.999999999955
2024-03-19 21:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,259.0,5361.999999999955
2024-03-19 23:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,201.0,5562.999999999955
2024-03-20 00:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,345.0,5907.999999999955
2024-03-20 08:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,458.0,6365.999999999955
2024-03-20 12:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,236.0,6601.999999999955
2024-03-20 12:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,310.0,6911.999999999955
2024-03-20 17:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-80.0,6831.999999999955
2024-03-20 20:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-493.0,6338.999999999955
2024-03-20 21:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-455.0,5883.999999999955
2024-03-21 08:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-634.0,5249.999999999955
2024-03-21 09:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-791.0,4458.999999999955
2024-03-21 20:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,458.0,4916.999999999955
2024-03-22 00:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-231.0,4685.999999999955
2024-03-22 09:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-222.0,4463.999999999955
2024-03-25 03:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-117.0,4346.999999999955
2024-03-26 00:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-132.0,4214.999999999955
2024-03-27 00:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-64.0,4150.999999999955
2024-03-27 00:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,46.0,4196.999999999955
2024-03-27 09:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-502.0,3694.9999999999554
2024-03-27 10:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-758.0,2936.9999999999554
2024-03-27 17:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-195.0,2741.9999999999554
2024-03-27 21:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,59.0,2800.9999999999554
2024-03-29 01:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-109.0,2691.9999999999554
2024-04-01 20:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,179.0,2870.9999999999554
2024-04-01 21:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,159.0,3029.9999999999554
2024-04-02 00:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,106.0,3135.9999999999554
2024-04-02 10:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-107.0,3028.9999999999554
2024-04-03 17:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,SHOCK_FAILURE,-139.99999999998636,2888.999999999969
2024-04-03 17:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-78.0,2810.999999999969
2024-04-03 19:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-32.0,2778.999999999969
2024-04-03 20:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-194.0,2584.999999999969
2024-04-03 21:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-286.0,2298.999999999969
2024-04-04 15:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,SHOCK_FAILURE,16.999999999995907,2315.999999999965
2024-04-04 20:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-472.0,1843.999999999965
2024-04-04 21:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,217.0,2060.999999999965
2024-04-04 22:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,SHOCK_FAILURE,73.0000000000075,2133.9999999999727
2024-04-05 03:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,15.0,2148.9999999999727
2024-04-05 08:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-298.0,1850.9999999999727
2024-04-05 20:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,202.0,2052.9999999999727
2024-04-08 14:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-27.0,2025.9999999999727
2024-04-08 15:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-5.0,2020.9999999999727
2024-04-08 16:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-61.0,1959.9999999999727
2024-04-08 19:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-48.0,1911.9999999999727
2024-04-09 21:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,13.0,1924.9999999999727
2024-04-09 22:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-53.0,1871.9999999999727
2024-04-09 22:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-163.0,1708.9999999999727
2024-04-10 19:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,1106.0,2814.9999999999727
2024-04-10 20:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,681.0,3495.9999999999727
2024-04-10 21:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,508.0,4003.9999999999727
2024-04-10 23:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,136.0,4139.999999999973
2024-04-10 23:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-28.0,4111.999999999973
2024-04-11 00:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-73.0,4038.9999999999727
2024-04-11 18:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-69.0,3969.9999999999727
2024-04-11 21:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-2.0,3967.9999999999727
2024-04-12 03:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,SHOCK_FAILURE,116.99999999999022,4084.9999999999627
2024-04-12 15:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-332.0,3752.9999999999627
2024-04-12 19:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-167.0,3585.9999999999627
2024-04-15 00:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-569.0,3016.9999999999627
2024-04-15 03:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-805.0,2211.9999999999627
2024-04-15 09:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,403.0,2614.9999999999627
2024-04-15 10:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,193.0,2807.9999999999627
2024-04-15 12:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,156.0,2963.9999999999627
2024-04-15 12:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,442.0,3405.9999999999627
2024-04-15 14:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,522.0,3927.9999999999627
2024-04-15 15:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,454.0,4381.999999999963
