failure_i,shock_i,entry_i,exit_i,side,reason,opportunity_id,fold,signal_utc,entry_utc,exit_utc,entry_bid,exit_bid,normalized_pl_jpy,net_pips,near_entry_B02,near_entry_F05,simultaneous_B02,simultaneous_F05,simultaneous_any_baseline,shock_start_utc,shock_end_utc,failure_start_utc,failure_end_utc,shock_direction,side_label,session,shock_midpoint,shock_ratio,shock_tr_pips,shock_body_pips,impulse_run_bars,shock_size_bucket,shock_duration_bucket,exit4_utc,baseline_day_pnl_jpy,baseline_day_state,baseline_existing_drawdown_jpy,b02_active,f05_active,both_active,neither_active,active_count,same_direction_overlap,opposite_direction_overlap,active_trade_ids,loss_cluster_nearby
38468,38467,38469,38477,1,down_shock_failed,2024H2|D_SHOCK_FAILURE|2024-07-18T00:00:00+00:00|1,2024H2,2024-07-17 23:45:00+00:00,2024-07-18 00:00:00+00:00,2024-07-18 02:00:00+00:00,155.675,156.255,574.9999999999841,57.49999999999841,False,False,False,False,False,2024-07-17 23:30:00+00:00,2024-07-17 23:45:00+00:00,2024-07-17 23:45:00+00:00,2024-07-18 00:00:00+00:00,DOWN,LONG,TOKYO,155.558,2.7749077490776632,37.60000000000048,27.09999999999866,4,2.50_to_lt_3.00,GE_3_BARS,2024-07-18 01:00:00+00:00,681.0,POSITIVE,947.0,False,False,False,True,0,False,False,,False
39006,39005,39007,39015,1,down_shock_failed,2024H2|D_SHOCK_FAILURE|2024-07-25T14:30:00+00:00|1,2024H2,2024-07-25 14:15:00+00:00,2024-07-25 14:30:00+00:00,2024-07-25 16:30:00+00:00,153.514,154.2,680.9999999999786,68.09999999999786,False,False,True,True,True,2024-07-25 14:00:00+00:00,2024-07-25 14:15:00+00:00,2024-07-25 14:15:00+00:00,2024-07-25 14:30:00+00:00,DOWN,LONG,LONDON_NY_OVERLAP,153.4835,2.529702970297031,51.09999999999957,40.300000000002,3,2.50_to_lt_3.00,GE_3_BARS,2024-07-25 15:30:00+00:00,-2687.0,NEGATIVE,0.0,True,True,True,False,2,False,True,2024H2|F05|2024-07-25T07:45:00+00:00|-1;2024H2|B02|2024-07-25T07:45:00+00:00|-1,False
39578,39577,39579,39587,-1,up_shock_failed,2024H2|D_SHOCK_FAILURE|2024-08-02T13:30:00+00:00|-1,2024H2,2024-08-02 13:15:00+00:00,2024-08-02 13:30:00+00:00,2024-08-02 15:30:00+00:00,147.661,146.515,1141.000000000015,114.1000000000015,False,True,True,True,True,2024-08-02 13:00:00+00:00,2024-08-02 13:15:00+00:00,2024-08-02 13:15:00+00:00,2024-08-02 13:30:00+00:00,UP,SHORT,LONDON_NY_OVERLAP,147.70600000000002,2.8986301369862093,52.899999999999636,46.89999999999941,2,2.50_to_lt_3.00,2_BARS,2024-08-02 14:30:00+00:00,9902.0,POSITIVE,2005.0,True,True,True,False,5,True,False,2024H2|F05|2024-08-02T07:15:00+00:00|-1;2024H2|B02|2024-08-02T07:15:00+00:00|-1;2024H2|F05|2024-08-02T12:45:00+00:00|-1;2024H2|F05|2024-08-02T14:15:00+00:00|-1;2024H2|F05|2024-08-02T14:45:00+00:00|-1,False
41502,41501,41503,41511,1,down_shock_failed,2024H2|D_SHOCK_FAILURE|2024-08-30T14:30:00+00:00|1,2024H2,2024-08-30 14:15:00+00:00,2024-08-30 14:30:00+00:00,2024-08-30 16:30:00+00:00,145.597,146.071,468.9999999999896,46.89999999999896,False,False,True,True,True,2024-08-30 14:00:00+00:00,2024-08-30 14:15:00+00:00,2024-08-30 14:15:00+00:00,2024-08-30 14:30:00+00:00,DOWN,LONG,LONDON_NY_OVERLAP,145.463,3.141361256545048,30.000000000001137,25.199999999998113,2,3.00_to_lt_4.00,2_BARS,2024-08-30 15:30:00+00:00,2010.0,POSITIVE,3952.0,True,True,True,False,3,True,False,2024H2|F05|2024-08-30T12:45:00+00:00|1;2024H2|B02|2024-08-30T09:00:00+00:00|1;2024H2|F05|2024-08-30T15:45:00+00:00|1,False
41888,41887,41889,41897,-1,up_shock_failed,2024H2|D_SHOCK_FAILURE|2024-09-05T15:00:00+00:00|-1,2024H2,2024-09-05 14:45:00+00:00,2024-09-05 15:00:00+00:00,2024-09-05 17:00:00+00:00,143.919,143.432,482.0000000000232,48.20000000000232,False,False,True,True,True,2024-09-05 14:30:00+00:00,2024-09-05 14:45:00+00:00,2024-09-05 14:45:00+00:00,2024-09-05 15:00:00+00:00,UP,SHORT,LONDON_NY_OVERLAP,144.002,3.3984962406016033,45.19999999999982,40.19999999999868,4,3.00_to_lt_4.00,GE_3_BARS,2024-09-05 16:00:00+00:00,-1531.0,NEGATIVE,717.0,True,True,True,False,2,True,False,2024H2|F05|2024-09-05T12:30:00+00:00|-1;2024H2|B02|2024-09-05T12:30:00+00:00|-1,False
41980,41979,41981,41989,-1,up_shock_failed,2024H2|D_SHOCK_FAILURE|2024-09-06T14:00:00+00:00|-1,2024H2,2024-09-06 13:45:00+00:00,2024-09-06 14:00:00+00:00,2024-09-06 16:00:00+00:00,143.519,142.142,1372.0000000000095,137.20000000000095,False,False,True,True,True,2024-09-06 13:30:00+00:00,2024-09-06 13:45:00+00:00,2024-09-06 13:45:00+00:00,2024-09-06 14:00:00+00:00,UP,SHORT,LONDON_NY_OVERLAP,143.5575,4.7886178861786695,58.899999999999864,45.60000000000173,4,ge_4.00,GE_3_BARS,2024-09-06 15:00:00+00:00,-1160.0,NEGATIVE,2010.0,True,True,True,False,3,True,False,2024H2|F05|2024-09-06T06:30:00+00:00|-1;2024H2|F05|2024-09-06T07:15:00+00:00|-1;2024H2|B02|2024-09-06T07:15:00+00:00|-1,True
42314,42313,42315,42323,1,down_shock_failed,2024H2|D_SHOCK_FAILURE|2024-09-12T01:30:00+00:00|1,2024H2,2024-09-12 01:15:00+00:00,2024-09-12 01:30:00+00:00,2024-09-12 03:30:00+00:00,142.564,142.457,-111.99999999999932,-11.199999999999932,False,False,False,True,True,2024-09-12 01:00:00+00:00,2024-09-12 01:15:00+00:00,2024-09-12 01:15:00+00:00,2024-09-12 01:30:00+00:00,DOWN,LONG,TOKYO,142.481,2.7190332326284214,44.99999999999886,42.69999999999925,2,2.50_to_lt_3.00,2_BARS,2024-09-12 02:30:00+00:00,-103.0,NEGATIVE,5126.0,False,True,False,False,1,True,False,2024H2|F05|2024-09-12T00:15:00+00:00|1,False
42438,42437,42439,42447,1,down_shock_failed,2024H2|D_SHOCK_FAILURE|2024-09-13T08:30:00+00:00|1,2024H2,2024-09-13 08:15:00+00:00,2024-09-13 08:30:00+00:00,2024-09-13 10:30:00+00:00,140.874,140.56,-318.9999999999929,-31.89999999999929,True,True,True,True,True,2024-09-13 08:00:00+00:00,2024-09-13 08:15:00+00:00,2024-09-13 08:15:00+00:00,2024-09-13 08:30:00+00:00,DOWN,LONG,LONDON,140.743,2.8481012658226903,44.99999999999886,38.59999999999957,4,2.50_to_lt_3.00,GE_3_BARS,2024-09-13 09:30:00+00:00,906.0,POSITIVE,4639.0,True,True,True,False,4,False,True,2024H2|F05|2024-09-13T01:15:00+00:00|-1;2024H2|F05|2024-09-13T02:30:00+00:00|-1;2024H2|F05|2024-09-13T08:15:00+00:00|-1;2024H2|B02|2024-09-13T08:15:00+00:00|-1,False
43327,43326,43328,43336,-1,up_shock_failed,2024H2|D_SHOCK_FAILURE|2024-09-26T14:45:00+00:00|-1,2024H2,2024-09-26 14:30:00+00:00,2024-09-26 14:45:00+00:00,2024-09-26 16:45:00+00:00,144.886,144.783,98.00000000000864,9.800000000000864,False,False,True,True,True,2024-09-26 14:15:00+00:00,2024-09-26 14:30:00+00:00,2024-09-26 14:30:00+00:00,2024-09-26 14:45:00+00:00,UP,SHORT,LONDON_NY_OVERLAP,144.89100000000002,2.779922779922815,35.99999999999852,25.300000000001432,2,2.50_to_lt_3.00,2_BARS,2024-09-26 15:45:00+00:00,-2132.0,NEGATIVE,11797.0,True,True,True,False,3,True,True,2024H2|F05|2024-09-26T07:30:00+00:00|1;2024H2|B02|2024-09-26T07:30:00+00:00|1;2024H2|B02|2024-09-26T11:00:00+00:00|-1,False
43387,43386,43388,43396,-1,up_shock_failed,2024H2|D_SHOCK_FAILURE|2024-09-27T05:45:00+00:00|-1,2024H2,2024-09-27 05:30:00+00:00,2024-09-27 05:45:00+00:00,2024-09-27 07:45:00+00:00,146.279,143.17,3104.000000000009,310.4000000000009,False,True,True,True,True,2024-09-27 05:15:00+00:00,2024-09-27 05:30:00+00:00,2024-09-27 05:30:00+00:00,2024-09-27 05:45:00+00:00,UP,SHORT,TOKYO,146.304,2.527027027027253,37.400000000002365,25.900000000001455,9,2.50_to_lt_3.00,GE_3_BARS,2024-09-27 06:45:00+00:00,-2731.0,NEGATIVE,13172.0,True,True,True,False,5,True,True,2024H2|F05|2024-09-27T00:45:00+00:00|1;2024H2|F05|2024-09-27T04:45:00+00:00|1;2024H2|F05|2024-09-27T06:30:00+00:00|-1;2024H2|F05|2024-09-27T07:00:00+00:00|-1;2024H2|B02|2024-09-27T07:15:00+00:00|-1,False
43994,43993,43995,44003,1,down_shock_failed,2024H2|D_SHOCK_FAILURE|2024-10-07T13:30:00+00:00|1,2024H2,2024-10-07 13:15:00+00:00,2024-10-07 13:30:00+00:00,2024-10-07 15:30:00+00:00,148.068,148.093,19.999999999977263,1.9999999999977265,False,False,True,False,True,2024-10-07 13:00:00+00:00,2024-10-07 13:15:00+00:00,2024-10-07 13:15:00+00:00,2024-10-07 13:30:00+00:00,DOWN,LONG,LONDON_NY_OVERLAP,148.0515,2.7084870848708364,36.700000000001864,27.000000000001023,1,2.50_to_lt_3.00,1_BAR,2024-10-07 14:30:00+00:00,35.0,POSITIVE,11982.0,True,False,False,False,1,False,True,2024H2|B02|2024-10-07T08:30:00+00:00|-1,False
