fold,h1_state,h4_state,session,side,trades,net_jpy,pf,mean_shock_magnitude_pips,mean_shock_ratio,mean_shock_duration_bars,mean_failure_delay_bars,mean_atr14_pips,mean_directional_persistence_4h,mean_directional_autocorr_24h,mean_time_since_previous_shock_minutes,mean_shock_count_prior_24h,mean_shock_count_prior_7d,mean_time_to_profit_minutes,mean_time_to_mfe_minutes,mean_mfe_pips,mean_mae_pips
2023H2,DOWN,DOWN,LONDON_NY_OVERLAP,LONG,5,-582.000000000022,0.35690607734804275,26.08000000000004,4.398210170376833,2.2,1.0,16.238571428571255,0.125,0.15509161420061254,48.0,9.0,32.2,,,13.099999999999454,-31.700000000000728
2023H2,DOWN,DOWN,LONDON_NY_OVERLAP,SHORT,2,69.00000000001683,1.784090909091155,34.29999999999893,2.953850095154424,1.0,1.0,17.310714285714518,0.3125,-0.039945456353835194,255.0,5.0,23.5,,,43.949999999999534,-24.800000000000466
2023H2,DOWN,DOWN,NEW_YORK,LONG,2,269.00000000000546,5.203125000000548,23.30000000000041,2.874236874237464,1.5,1.0,21.053571428571463,0.125,0.040432599979619746,45.0,7.0,31.0,,,24.94999999999834,-5.150000000000432
2023H2,DOWN,DOWN,NEW_YORK,SHORT,1,-201.99999999999812,0.0,25.40000000000191,2.8700564971754785,1.0,1.0,10.785714285714423,0.125,-0.0501987525125873,15.0,3.0,21.0,,,21.50000000000034,-23.399999999998045
2023H2,DOWN,DOWN,TOKYO,LONG,5,-233.00000000003257,0.6781767955800736,28.840000000000146,3.12839261646965,2.2,1.0,12.94142857142877,0.3,0.0295119641428234,339.0,6.4,30.8,,,13.240000000000123,-26.680000000000064
2023H2,DOWN,DOWN,TOKYO,SHORT,1,-84.00000000000318,0.0,29.50000000000159,2.587719298245656,2.0,1.0,16.671428571429,0.25,0.0271426523902497,60.0,4.0,36.0,,,6.299999999998818,-12.600000000000476
2023H2,DOWN,DOWN,TRANSITION,LONG,1,-364.0000000000043,0.0,37.89999999999907,3.4454545454544787,5.0,1.0,34.771428571427926,0.5,0.1670367245539488,15.0,11.0,43.0,,,33.39999999999748,-39.6000000000015
2023H2,DOWN,UP,LONDON,SHORT,1,-158.00000000001546,0.0,18.299999999999272,2.671532846715213,2.0,1.0,14.564285714285624,0.25,0.0238634085755492,45.0,8.0,17.0,,,3.699999999997772,-16.900000000001114
2023H2,DOWN,UP,LONDON_NY_OVERLAP,LONG,1,28.99999999999636,,27.199999999999136,2.542056074766628,1.0,1.0,15.392857142857151,0.0,-0.2844746953423847,270.0,1.0,23.0,,,25.600000000000023,-13.900000000001
2023H2,DOWN,UP,TRANSITION,LONG,1,78.99999999997931,,44.70000000000027,4.885245901638809,8.0,1.0,11.35714285714288,0.625,0.1086158463298008,435.0,3.0,29.0,,,21.69999999999845,-9.499999999999886
2023H2,UP,DOWN,LONDON,SHORT,1,-94.99999999999886,0.0,16.59999999999968,2.515151515151372,2.0,1.0,7.650000000000594,0.0,0.0820082007368915,465.0,1.0,39.0,,,19.10000000000025,-12.299999999999043
2023H2,UP,DOWN,LONDON_NY_OVERLAP,LONG,1,-123.99999999999524,0.0,36.40000000000043,5.732283464566566,2.0,1.0,12.628571428571432,0.0625,-0.0866744469649134,15.0,6.0,32.0,,,15.99999999999966,-26.900000000000546
2023H2,UP,DOWN,LONDON_NY_OVERLAP,SHORT,2,46.999999999997016,1.2136363636363512,43.24999999999904,2.765106635071049,2.5,1.0,18.985714285714803,0.1875,0.19388020785421656,517.5,9.0,31.0,,,51.04999999999933,-18.499999999998806
2023H2,UP,UP,LONDON,LONG,1,114.00000000000432,,13.800000000000525,2.875,1.0,1.0,7.728571428571789,0.1875,0.0698089766405019,15.0,4.0,36.0,,,12.600000000000476,-13.2000000000005
2023H2,UP,UP,LONDON,SHORT,1,34.00000000002024,,15.000000000000568,4.347826086955626,1.0,1.0,6.1000000000005015,0.3125,0.0256978822255343,30.0,14.0,35.0,,,11.700000000001864,-18.39999999999975
2023H2,UP,UP,LONDON_NY_OVERLAP,LONG,6,282.0000000000391,3.68571428571492,22.8666666666669,2.7854293437626936,1.1666666666666667,1.0,15.332142857142847,0.19791666666666666,0.07021844621044439,30.0,6.833333333333333,28.5,,,15.916666666666876,-14.366666666665632
2023H2,UP,UP,NEW_YORK,SHORT,2,-35.00000000002501,0.3269230769228667,14.050000000000296,2.955092592593306,1.5,1.0,8.271428571428682,0.25,-0.10246220119546955,127.5,3.5,25.5,,,6.849999999998602,-14.650000000000318
2024H1,DOWN,DOWN,LONDON,LONG,3,343.00000000001774,,19.400000000000734,3.230196996831508,1.0,1.0,11.778571428571503,0.2916666666666667,-0.04795229650809954,60.0,10.0,31.333333333333332,,,26.566666666666567,-5.833333333332765
2024H1,DOWN,DOWN,LONDON_NY_OVERLAP,LONG,1,-21.000000000015007,0.0,16.29999999999825,3.360824742267389,4.0,1.0,8.699999999999923,0.25,0.0170003042960901,45.0,3.0,21.0,,,4.699999999999704,-21.60000000000082
2024H1,DOWN,DOWN,NEW_YORK,LONG,4,602.9999999999802,,22.425000000001205,3.8434561243570844,1.75,1.0,14.833928571428855,0.34375,0.02690738834432122,15.0,7.75,25.0,,,22.30000000000061,-8.899999999999864
