candidate_id,family,horizon_bars,support_gate,core_gate,full_gate,minimum_fold_trades,minimum_fold_default_net_pips,minimum_fold_severe_net_pips,fourfold_default_net_pips,fourfold_severe_net_pips,full_gate_folds
R1B03_legacy_prior_day_breakout,session_range_breakout,16,True,False,False,93,-647.800000,-887.800000,-490.831589,-1377.294766,0
R1B03_legacy_prior_day_breakout,session_range_breakout,24,True,False,False,93,-623.200000,-863.200000,-931.681589,-1818.144766,0
R1B03_legacy_prior_day_breakout,session_range_breakout,32,True,False,False,93,-708.600000,-948.600000,-59.531589,-943.994766,1
R1B03_legacy_prior_day_breakout,session_range_breakout,48,True,False,False,92,-424.200000,-662.200000,685.838597,-189.884208,1
R1B04_london_open_07_09_breakout,session_range_breakout,1,True,False,False,132,-181.600000,-451.213915,-370.421198,-1536.763593,1
R1B04_london_open_07_09_breakout,session_range_breakout,2,True,False,False,132,-68.500000,-339.013915,109.478802,-1056.863593,1
R1B04_london_open_07_09_breakout,session_range_breakout,3,True,False,False,132,-140.100000,-406.100000,62.028802,-1104.313593,0
R1B04_london_open_07_09_breakout,session_range_breakout,4,True,False,False,132,-116.900000,-382.900000,148.678802,-1017.663593,0
R1B04_london_open_07_09_breakout,session_range_breakout,6,True,False,False,132,26.978695,-276.763915,683.128802,-483.213593,1
R1B04_london_open_07_09_breakout,session_range_breakout,8,True,False,False,132,51.200000,-214.800000,970.578802,-195.763593,1
R1B04_london_open_07_09_breakout,session_range_breakout,12,True,False,False,132,-178.300000,-444.300000,844.228802,-322.113593,1
R1B04_london_open_07_09_breakout,session_range_breakout,16,True,False,False,132,-283.600000,-549.600000,1003.028802,-163.313593,1
R1B04_london_open_07_09_breakout,session_range_breakout,24,True,False,False,132,-317.100000,-609.100000,1362.078802,195.736407,1
R1B04_london_open_07_09_breakout,session_range_breakout,32,True,False,False,132,-169.000000,-461.000000,2110.478802,944.136407,1
R1B04_london_open_07_09_breakout,session_range_breakout,48,True,False,False,130,-154.100000,-414.100000,2097.265500,957.596500,1
R1B05_london_morning_07_13_breakout,session_range_breakout,1,True,False,False,101,-308.100000,-522.100000,-438.357739,-1332.173217,0
R1B05_london_morning_07_13_breakout,session_range_breakout,2,True,False,False,101,-243.100000,-457.100000,-291.657739,-1185.473217,1
R1B05_london_morning_07_13_breakout,session_range_breakout,3,True,False,False,101,-413.513207,-653.939620,-182.857739,-1076.673217,1
R1B05_london_morning_07_13_breakout,session_range_breakout,4,True,False,False,101,-248.313207,-488.739620,286.642261,-607.173217,1
R1B05_london_morning_07_13_breakout,session_range_breakout,6,True,False,False,101,-347.444532,-582.833597,222.942261,-670.873217,1
R1B05_london_morning_07_13_breakout,session_range_breakout,8,True,False,False,101,-548.094532,-783.483597,-59.607739,-953.423217,1
R1B05_london_morning_07_13_breakout,session_range_breakout,12,True,False,False,101,-527.594532,-762.983597,33.342261,-860.473217,1
R1B05_london_morning_07_13_breakout,session_range_breakout,16,True,False,False,101,-421.544532,-656.933597,149.792261,-744.023217,1
R1B05_london_morning_07_13_breakout,session_range_breakout,24,True,False,False,99,-734.144532,-969.533597,129.728623,-759.414131,1
R1B05_london_morning_07_13_breakout,session_range_breakout,32,True,False,False,99,-234.666735,-465.900205,947.056420,68.069261,2
R1B05_london_morning_07_13_breakout,session_range_breakout,48,True,False,False,96,-621.719865,-844.459596,727.768254,-117.795238,1
