dimension,value,side,trades,net_jpy,pf,mdd_jpy,win_rate,median_jpy,positive_folds,positive_months,minimum_fold_net_jpy,median_mae_pips,median_mfe_pips,reclaim_rate,bootstrap_lower95_jpy
vol_bin,"(1.5990000000000002, 9.1]",LONG,45,2378.0000000001846,1.5214912280702224,2162.0000000000064,0.5111111111111111,3.9999999999906777,2,12,-1227.9999999999518,-16.30000000000109,10.80000000000041,1.0,-2705.124999999952
vol_bin,"(9.1, 14.0]",LONG,51,1078.0000000000882,1.2651254303984474,1292.0000000000016,0.5490196078431373,19.000000000005457,2,11,-482.99999999997567,-13.599999999999568,14.799999999999613,1.0,-2154.375000000047
vol_bin,"(14.0, 21.3]",LONG,67,4238.000000000198,1.7364031277150653,1123.0000000000473,0.5970149253731343,52.00000000002092,3,14,-385.9999999999957,-12.600000000000477,22.59999999999991,1.0,-761.8499999997821
vol_bin,"(21.3, 145.9]",LONG,78,5955.999999999876,1.6974238875878016,1993.0000000000234,0.5641025641025641,30.9999999999917,3,17,-774.9999999999773,-22.799999999999443,26.850000000001728,1.0,-1088.225000000221
vol_bin,"(1.5990000000000002, 9.1]",SHORT,92,-2275.0000000001482,0.6885268346111566,3427.000000000163,0.33695652173913043,-21.99999999999136,1,8,-2039.0000000001294,-12.199999999999989,7.599999999999341,1.0,-6005.375000000244
vol_bin,"(9.1, 14.0]",SHORT,86,-3207.9999999999986,0.6740499898394613,4413.99999999996,0.43023255813953487,-27.50000000000341,2,9,-2363.999999999976,-16.450000000000387,16.100000000000136,1.0,-7858.5249999999505
vol_bin,"(14.0, 21.3]",SHORT,71,22.99999999999659,1.0023906038873296,1872.0000000000425,0.4507042253521127,-33.999999999991815,2,10,-663.0000000000393,-21.999999999999886,19.10000000000025,1.0,-6284.199999999825
vol_bin,"(21.3, 145.9]",SHORT,57,-3082.0000000001355,0.7010089251067023,5508.000000000038,0.5263157894736842,4.000000000019099,1,9,-1906.9999999999823,-21.100000000001273,21.20000000000175,1.0,-9051.400000000178
spread_bin,"(-inf, 0.5]",LONG,94,8080.000000000126,2.2446087492298483,883.9999999999861,0.574468085106383,33.50000000001785,4,15,1321.0000000000264,-14.650000000000318,18.80000000000166,1.0,2255.9500000000894
spread_bin,"(0.5, 1.0]",LONG,132,2134.0000000001564,1.1401734104046337,3068.0000000000978,0.5454545454545454,28.999999999996362,3,14,-224.99999999993747,-15.100000000001046,18.05000000000092,1.0,-5545.050000000068
spread_bin,"(1.0, 2.0]",LONG,10,2298.0000000000587,7.473239436620588,342.9999999999893,0.7,178.50000000001387,3,5,-43.00000000000637,-19.74999999999909,29.50000000000017,1.0,282.87500000010016
spread_bin,"(2.0, inf]",LONG,5,1138.0000000000052,2.33882352941178,611.9999999999948,0.4,-179.9999999999784,2,2,-237.99999999999955,-23.799999999999955,2.899999999999636,1.0,-1461.999999999989
spread_bin,"(-inf, 0.5]",SHORT,134,-6807.999999999991,0.5467075038284821,7461.999999999985,0.41044776119402987,-25.50000000000807,0,7,-2688.9999999999927,-14.999999999999147,11.549999999999727,1.0,-12016.074999999979
spread_bin,"(0.5, 1.0]",SHORT,158,-3837.0000000002738,0.8214269092939805,4956.0000000002165,0.43037974683544306,-20.49999999999841,0,8,-1200.000000000074,-18.649999999999523,15.200000000000102,1.0,-12446.625000000158
spread_bin,"(1.0, 2.0]",SHORT,10,965.9999999999798,4.156862745097853,164.99999999999204,0.5,54.99999999999261,2,3,-26.00000000001046,-15.149999999999864,24.799999999999045,1.0,-67.14999999997956
spread_bin,"(2.0, inf]",SHORT,4,1137.0000000000005,5.323193916349726,218.9999999999941,0.5,-31.49999999999409,1,1,-156.0000000000059,-26.949999999999363,12.000000000000455,1.0,-526.0000000000105
H4_state,Down,LONG,79,8383.000000000011,2.0224417611903855,1667.000000000029,0.569620253164557,80.99999999998886,4,16,64.9999999999693,-15.700000000001069,29.20000000000016,1.0,1035.1000000000029
H4_state,Neutral,LONG,2,806.0000000000116,5.477777777778379,179.9999999999784,0.5,403.0000000000058,1,1,806.0000000000116,-19.75000000000051,51.80000000000007,1.0,-359.9999999999568
H4_state,Transition,LONG,11,1013.0000000000337,2.929523809523853,246.00000000000932,0.6363636363636364,37.00000000000614,2,6,-105.99999999999454,-12.000000000000455,15.200000000001523,1.0,-503.1250000000135
H4_state,Up,LONG,149,3448.0000000002933,1.2459870157665898,2540.999999999912,0.5503355704697986,24.00000000000091,3,15,-2254.99999999991,-14.799999999999613,15.700000000001069,1.0,-3305.674999999883
H4_state,Down,SHORT,117,1977.9999999999807,1.1320603551876078,2706.9999999998795,0.46153846153846156,-14.999999999986358,2,9,-1684.0000000000543,-18.899999999999295,20.400000000000773,1.0,-6008.54999999997
H4_state,Neutral,SHORT,2,136.0000000000241,,0.0,1.0,68.00000000001205,1,1,136.0000000000241,-11.699999999999022,34.499999999999886,1.0,8.000000000038199
H4_state,Transition,SHORT,7,349.0000000000464,2.600917431192952,164.99999999999204,0.7142857142857143,54.000000000002046,2,4,-61.9999999999834,-13.79999999999768,17.00000000000159,1.0,-332.67499999996556
H4_state,Up,SHORT,180,-11005.000000000337,0.4970062617121337,12055.000000000262,0.38333333333333336,-27.50000000000341,0,6,-4113.000000000085,-16.34999999999991,10.899999999999466,1.0,-18178.175000000476
D1_state,Down,LONG,59,7244.999999999976,2.4764621968616276,1039.9999999999918,0.5932203389830508,61.9999999999834,4,10,840.9999999999798,-18.199999999998795,32.59999999999934,1.0,2205.674999999929
D1_state,Neutral,LONG,10,35.00000000005343,1.0188882892606874,1269.9999999999818,0.6,42.00000000000159,1,1,35.00000000005343,-41.59999999999897,25.950000000000273,1.0,-3330.2499999999836
