candidate_id,family,definition_sha256,horizon_bars,trades,win_rate,avg_gross_pips,avg_default_net_pips,total_default_net_pips,avg_severe_net_pips,total_severe_net_pips,median_default_net_pips,avg_mfe_pips,avg_mae_pips,median_mfe_pips,median_mae_pips,avg_bars_to_mfe,avg_bars_to_mae,q05_default_net_pips,q95_default_net_pips,default_profit_factor,severe_profit_factor,total_excluding_best_utc_day,total_excluding_best_two_utc_days,positive_months,minimum_monthly_trades
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,4,754,0.469496021220,0.058753315650,-0.552652055320,-416.699649711086,-2.775462797259,-2092.698949133210,-0.655542671614,13.143965517241,-12.950596816976,9.275000000000,-8.800000000002,2.363395225464,2.404509283820,-27.776271228928,27.139998557414,0.911812360288,0.631275081408,-546.596809464770,-661.897271771926,3,111
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,6,754,0.468169761273,-0.523076923077,-1.134482294046,-855.399649711043,-3.357293035986,-2531.398949133167,-1.347349823320,15.527519893899,-15.438196286472,10.900000000002,-10.350000000000,3.144562334218,3.355437665782,-35.269712415526,32.026362660892,0.853447354598,0.626957346437,-1016.509530826211,-1174.159993133375,4,111
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,8,753,0.470119521912,-0.841633466136,-1.453186785805,-1094.249649711125,-3.676293425144,-2768.248949133249,-1.293019413466,17.248671978752,-17.234528552457,12.049999999999,-11.400000000003,3.970783532537,4.184594953519,-36.688965038201,31.595449620802,0.831352888432,0.627417108668,-1381.726285995907,-1595.976748303062,3,111
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,12,753,0.466135458167,-0.055046480744,-0.666599800413,-501.949649711096,-2.889706439752,-2175.948949133220,-0.798451053281,20.449203187251,-20.234395750332,13.749999999999,-13.700000000000,5.498007968127,5.932270916335,-42.531229941029,43.286149227046,0.931280922291,0.735869811173,-924.450112018253,-1342.918895147237,4,111
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,16,753,0.491367861886,0.882536520584,0.270983200915,204.050350288930,-1.952123438424,-1469.948949133194,-0.313418803422,23.338911022576,-22.433598937583,15.700000000004,-15.550000000002,7.292164674635,7.451527224436,-42.215894764584,47.092381868708,1.026355580288,0.829908720063,-439.550112018231,-1033.218895147216,4,111
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,24,753,0.482071713147,0.803386454183,0.191833134514,144.450350288909,-2.031273504825,-1529.548949133214,-0.850000000000,29.569123505976,-27.754913678619,19.550000000001,-19.200000000001,11.572377158035,11.572377158035,-60.005976157870,66.064529220193,1.013799137680,0.865566398103,-552.418432840076,-1086.618895147232,4,111
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,32,751,0.517976031957,5.110785619174,4.499038811581,3378.778147497035,2.275545196393,1708.934442491389,0.972286220644,38.503794940080,-32.560852197071,22.749999999996,-22.449999999998,16.038615179760,15.597869507324,-66.133114699413,85.233036263061,1.295076412471,1.139049569189,1946.501511212258,567.851048905099,4,111
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,48,739,0.518267929635,5.708186738836,5.098650431944,3767.902669206599,2.879577818159,2128.008007619795,2.475205855444,46.225507442490,-39.383761840325,28.500000000003,-27.449999999999,23.617050067659,22.414073071719,-82.815333656004,104.541394694531,1.284906273137,1.151732528443,2647.983886077618,1777.548523857331,4,109
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,1,469,0.458422174840,0.398081023454,-0.214634642615,-100.663647386547,-2.440065974754,-1144.390942159515,-0.915201793722,7.609914712154,-6.756823027719,4.900000000001,-4.649999999998,0.982942430704,0.972281449893,-12.864934302693,14.974604575271,0.937221241745,0.488511010228,-171.083722605150,-231.877204325770,1,67
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,2,469,0.515991471215,1.198081023454,0.585365357385,274.536352613505,-1.640065974754,-769.190942159462,0.149999999999,10.211513859275,-9.089978678038,7.350000000000,-6.700000000001,1.458422174840,1.422174840085,-17.637707168276,20.149599377075,1.150953619562,0.678037809509,155.466277394904,69.772795674284,5,67
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,3,469,0.486140724947,0.563432835821,-0.049282830248,-23.113647386488,-2.274714162387,-1066.840942159456,-0.560350194554,12.153198294243,-11.364925373134,8.949999999999,-8.050000000003,1.948827292111,1.852878464819,-21.868894182285,23.293154751918,0.990983840787,0.659969124697,-143.033722605092,-246.133333412211,4,67
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,4,469,0.469083155650,0.438379530917,-0.174336135152,-81.763647386474,-2.399767467291,-1125.490942159441,-0.750917702784,13.642324093817,-13.332089552239,10.449999999997,-9.050000000002,2.360341151386,2.347547974414,-26.109171159445,27.859482439337,0.971984979685,0.678918249168,-229.513258193589,-349.356739914214,3,67
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,6,469,0.477611940299,0.423667377399,-0.189048288671,-88.663647386476,-2.414479620809,-1132.390942159443,-0.700000000001,16.120042643923,-16.004051172708,11.199999999999,-10.800000000000,3.196162046908,3.264392324094,-33.036386720120,33.675279441625,0.974945443965,0.724842922573,-246.007129107104,-400.206739914223,3,67
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,8,469,0.479744136461,0.344669509595,-0.268046156474,-125.713647386506,-2.493477488613,-1169.440942159474,-0.843768894861,17.981769722815,-17.825159914712,12.249999999997,-12.449999999998,4.000000000000,4.093816631130,-34.785175304072,36.972864600834,0.968179619356,0.741718472091,-384.605451219790,-600.148932940412,3,67
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,12,469,0.484008528785,1.174946695096,0.562231029027,263.686352613491,-1.663200303112,-780.040942159476,-0.199999999999,21.412153518124,-20.586567164179,14.099999999999,-14.500000000001,5.727078891258,5.752665245203,-38.456963419294,44.302428936880,1.060316895577,0.841970636705,-111.457129107133,-448.951937026520,3,67
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,16,469,0.513859275053,2.749466950959,2.136751284890,1002.136352613520,-0.088680047248,-41.590942159447,0.786530264279,24.634754797441,-22.955010660981,16.499999999999,-16.150000000002,7.590618336887,7.249466950959,-38.605935567295,52.325718185489,1.215913655786,0.991967985219,428.892870892893,-83.601937026493,5,67
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,24,469,0.507462686567,2.718336886994,2.105621220924,987.536352613510,-0.119810111214,-56.190942159457,0.514063969896,31.581130063966,-28.292857142857,20.800000000000,-19.900000000001,12.049040511727,11.202558635394,-57.661175137975,65.708998747461,1.157573206369,0.991739572678,490.141544694125,35.448062973503,4,67
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,32,468,0.549145299145,7.041132478632,6.428236366242,3008.414619401077,4.202444141460,1966.743858203427,4.731125471414,41.227029914530,-33.144230769231,26.525000000002,-22.225000000002,17.029914529915,14.799145299145,-68.129615109706,87.710529260453,1.426880453337,1.260991259855,1728.421137680454,945.079333847174,4,66
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,48,459,0.535947712418,6.635620915033,6.022839520726,2764.483340013329,3.797276732113,1742.950020040013,3.131898539583,48.211873638344,-40.824945533769,31.150000000002,-27.700000000002,24.533769063181,21.799564270153,-82.922803659740,108.844013934550,1.335996883910,1.200067405539,1993.738532093950,1251.910251658788,3,65
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,1,110,0.481818181818,-0.020909090909,-0.594210613915,-65.363167530624,-2.740813659926,-301.489502591845,-0.203269968818,6.128181818182,-5.635454545454,3.649999999999,-4.174999999999,0.981818181818,0.963636363636,-13.198286452354,12.086327391378,0.815981653062,0.396374618918,-95.563167530623,-124.973202819551,3,16
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,2,110,0.481818181818,0.511363636364,-0.061937886642,-6.813167530613,-2.208540932653,-242.939502591834,-0.949999999999,9.136818181818,-7.837727272727,5.599999999998,-5.900000000000,1.490909090909,1.436363636364,-18.777257920174,16.709156547079,0.985286587173,0.594896325387,-49.223202819541,-80.916287812048,4,16
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,3,110,0.481818181818,0.080454545455,-0.492846977551,-54.213167530612,-2.639450023562,-290.339502591833,-0.512464772230,10.771818181818,-9.242727272727,6.474999999999,-7.175000000001,1.972727272727,1.881818181818,-21.703979158172,22.125765243822,0.906309191466,0.592965064535,-97.856252523118,-138.966287812045,4,16
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,4,110,0.418181818182,-0.457727272727,-1.031028795733,-113.413167530616,-3.177631841744,-349.539502591837,-1.589193133351,11.910909090909,-12.369545454546,7.999999999998,-8.500000000001,2.363636363636,2.481818181818,-25.465381827958,23.648424087139,0.835190680171,0.577729185265,-157.173202819543,-195.066287812052,3,16
