candidate_id,family,definition_sha256,horizon_bars,trade_rows,trade_ledger_sha256
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,32,468,ac97a2433b8c6a6f711872ba44719bcd13b8b323793f9850378289bbb32a2d5e
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,48,459,b9b30ebb855220b26df77c0557ef3d347372a0dcd7c62bab3c6a0232e82f96b6
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,1,110,fb5f03fb8cff51b6a6b1e02a7fa8e0f89b06b28163f657b9955e6c536ec7fdb2
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,2,110,c9744e4ab3eb1a5863baf4e85e294732bc73ecb61657e9b29d761ed529b35ea4
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,3,110,d4b19cb1894da6ce408b6b8ea8c6d2ec29d5337d1c908864082e28ce682d3407
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,4,110,15357edd2fc27295df311e0562607b26e7185ee2507dac2e233fb762a8f7c699
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,6,110,5ff5748cf9cc118b6937999a1ea3a5cfaea4f3df943bced8cf146cde8309de9b
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,8,110,1007d17673f2019b26b5e90a2e23f317c07996b584f7ac5c42e569f278a78f26
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,12,110,528e32c0ddb748b3385e6917ad7e5cd9b29acc3e44e77b4e72acf34226f5f7a8
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,16,110,2f94f52e9efcb340c6bd0d6c7275d16994137fa73628c3095fcbddda2b8d2223
